,DatasetID,ObservationID,AccSpeciesID,AccSpeciesName,ObsDataID,X.nitrogen,X.carbon,lat,long
911,443,2764143,48050,Salsola sp,25678539,9.8,NA,44.37,87.92
914,443,2764144,48050,Salsola sp,25678607,26.1,NA,44.37,87.92
917,443,2764145,48050,Salsola sp,25678675,26.73,NA,44.37,87.92
8,130,28527,48050,Salsola sp,706828,22.4,NA,-29.516425,21.9643382
703,412,3081756,48050,Salsola sp,33928881,22.4,NA,-29.516425,21.9643382
268,240,1674387,48859,Schizachyrium scoparium,11593155,31.6,NA,-34.6,-58.5
418,412,3035814,48859,Schizachyrium scoparium,30413563,31.6,NA,-34.6,-58.5
1287,89,968078,51149,Sorghum halepense,6148827,22.2,NA,-31.4,-64.2
232,20,1289886,34627,Lyonia lucida,8713191,9.2,NA,33.33,-79.22
235,20,1289890,44869,Pterocaulon pycnostachyum,8713701,19.7,NA,33.33,-79.22
281,286,2460434,34627,Lyonia lucida,19985690,9.2,NA,33.33,-79.22
284,286,2460438,44869,Pterocaulon pycnostachyum,19985850,19.7,NA,33.33,-79.22
348,342,2502092,34627,Lyonia lucida,20674217,9.2,NA,33.33,-79.22
351,342,2502096,44869,Pterocaulon pycnostachyum,20674509,19.7,NA,33.33,-79.22
403,412,3029767,34627,Lyonia lucida,29949877,9.2,NA,33.33,-79.22
406,412,3029771,44869,Pterocaulon pycnostachyum,29950149,19.7,NA,33.33,-79.22
1055,67,1308743,44869,Pterocaulon pycnostachyum,9097626,19.7,NA,33.33,-79.22
1058,67,1308750,34627,Lyonia lucida,9097859,9.2,NA,33.33,-79.22
1064,67,1308889,44869,Pterocaulon pycnostachyum,9102200,19.7,NA,33.33,-79.22
1067,67,1308902,34627,Lyonia lucida,9102559,9.2,NA,33.33,-79.22
1300,96,1312277,34627,Lyonia lucida,9183656,9.2,NA,33.33,-79.22
1303,96,1312281,44869,Pterocaulon pycnostachyum,9183826,19.7,NA,33.33,-79.22
415,412,3031500,34627,Lyonia lucida,30077821,13.1,NA,34.2,-79.4
952,642,6233662,34627,Lyonia lucida,60825226,9.4,541.4,29.69519,-81.95411
944,642,6233572,34627,Lyonia lucida,60823235,11.5,547.3,29.70997,-81.96843
936,642,6233552,34627,Lyonia lucida,60822790,12.6,531.9,29.70433,-81.99178
940,642,6233557,34627,Lyonia lucida,60822902,12.4,545.8,29.70433,-81.99178
948,642,6233601,34627,Lyonia lucida,60823877,11,545.3,29.70236,-82.00886
214,20,1288616,34627,Lyonia lucida,8572420,7,NA,30.73,-82.13
333,342,2501234,34627,Lyonia lucida,20612124,7,NA,30.73,-82.13
385,412,3028515,34627,Lyonia lucida,29852032,7,NA,30.73,-82.13
211,20,1288479,45432,Quercus minima,8556910,8.9,NA,29.63,-82.36
330,342,2501185,45432,Quercus minima,20608528,8.9,NA,29.63,-82.36
382,412,3028378,45432,Quercus minima,29841427,17.8,NA,29.63,-82.36
904,412,3161939,45432,Quercus minima,40328677,8.9,NA,29.2,-82.99
956,642,6234419,71125,Rubus trivialis,60841071,17.6,424.2,32.89059,-87.444
960,642,6234447,421856,Dichanthelium sp,60841491,17,451.4,32.89059,-87.444
223,20,1289417,3170,Ambrosia trifida,8661583,44.1,NA,40.1,-88.23
342,342,2501783,3170,Ambrosia trifida,20651479,44.1,NA,40.1,-88.23
394,412,3029310,3170,Ambrosia trifida,29914353,44.1,NA,40.1,-88.23
1197,756,6430483,51135,Sorghastrum nutans,63363005,11.51007533,NA,37.695,-89.239
1200,756,6430484,51135,Sorghastrum nutans,63363016,12.13238835,NA,37.695,-89.239
1203,756,6430485,51135,Sorghastrum nutans,63363027,8.217561245,NA,37.695,-89.239
1206,756,6430486,51135,Sorghastrum nutans,63363038,13.40159416,NA,37.695,-89.239
1209,756,6430487,51135,Sorghastrum nutans,63363049,9.635415673,NA,37.695,-89.239
1212,756,6430488,51135,Sorghastrum nutans,63363060,11.49292231,NA,37.695,-89.239
1215,756,6430489,51135,Sorghastrum nutans,63363071,11.84272647,NA,37.695,-89.239
1218,756,6430490,51135,Sorghastrum nutans,63363082,13.63524795,NA,37.695,-89.239
1221,756,6430491,51135,Sorghastrum nutans,63363093,9.919950366,NA,37.695,-89.239
1224,756,6430492,51135,Sorghastrum nutans,63363104,12.49698281,NA,37.695,-89.239
1227,756,6430493,51135,Sorghastrum nutans,63363115,11.17680311,NA,37.695,-89.239
1230,756,6430494,51135,Sorghastrum nutans,63363126,11.64797664,NA,37.695,-89.239
1233,756,6430495,51135,Sorghastrum nutans,63363137,12.83074975,NA,37.695,-89.239
1236,756,6430496,51135,Sorghastrum nutans,63363148,10.69785357,NA,37.695,-89.239
1239,756,6430497,51135,Sorghastrum nutans,63363159,9.816730618,NA,37.695,-89.239
1242,756,6430498,51135,Sorghastrum nutans,63363170,7.336620092,NA,37.695,-89.239
1245,756,6430499,51135,Sorghastrum nutans,63363181,8.852289915,NA,37.695,-89.239
1248,756,6430500,51135,Sorghastrum nutans,63363192,8.962153196,NA,37.695,-89.239
1251,756,6430501,51135,Sorghastrum nutans,63363203,9.505745769,NA,37.695,-89.239
1254,756,6430502,51135,Sorghastrum nutans,63363214,12.63754129,NA,37.695,-89.239
1257,756,6430503,51135,Sorghastrum nutans,63363225,9.091061354,NA,37.695,-89.239
1260,756,6430504,51135,Sorghastrum nutans,63363236,7.189416289,NA,37.695,-89.239
1263,756,6430505,51135,Sorghastrum nutans,63363247,8.248801231,NA,37.695,-89.239
1266,756,6430506,51135,Sorghastrum nutans,63363258,8.804228902,NA,37.695,-89.239
1269,756,6430507,51135,Sorghastrum nutans,63363269,7.226155996,NA,37.695,-89.239
1272,756,6430508,51135,Sorghastrum nutans,63363280,9.4106251,NA,37.695,-89.239
1275,756,6430509,51135,Sorghastrum nutans,63363291,4.439492822,NA,37.695,-89.239
1278,756,6430510,51135,Sorghastrum nutans,63363302,5.706791282,NA,37.695,-89.239
1281,756,6430511,51135,Sorghastrum nutans,63363313,5.515626073,NA,37.695,-89.239
1284,756,6430512,51135,Sorghastrum nutans,63363324,6.457158327,NA,37.695,-89.239
378,35,775560,51135,Sorghastrum nutans,3566167,8.3,NA,44.4,-90
5,130,27620,48859,Schizachyrium scoparium,685161,10.1,NA,43.19935,-90.059033
700,412,3080900,48859,Schizachyrium scoparium,33866031,10.1,NA,43.19935,-90.059033
682,412,3064733,7911,Bouteloua gracilis,32682523,34.83764,NA,46.17,-92.87
685,412,3064748,48859,Schizachyrium scoparium,32683695,22.70756,NA,46.17,-92.87
688,412,3064750,51135,Sorghastrum nutans,32683850,24.39706,NA,46.17,-92.87
691,412,3064765,7911,Bouteloua gracilis,32685028,37.8298,NA,46.17,-92.87
694,412,3064780,48859,Schizachyrium scoparium,32686200,29.21657,NA,46.17,-92.87
697,412,3064782,51135,Sorghastrum nutans,32686355,32.70448,NA,46.17,-92.87
430,412,3060438,51135,Sorghastrum nutans,32340556,10.71,448.824,45.41666667,-93.16666667
434,412,3060444,51135,Sorghastrum nutans,32341037,7.973,447.127,45.41666667,-93.16666667
438,412,3060451,51135,Sorghastrum nutans,32341594,8.364,441.781,45.41666667,-93.16666667
442,412,3060464,51135,Sorghastrum nutans,32342639,12.617,451.059,45.41666667,-93.16666667
446,412,3060470,51135,Sorghastrum nutans,32343121,12.565,441.5,45.41666667,-93.16666667
450,412,3060480,51135,Sorghastrum nutans,32343927,10.695,444.15,45.41666667,-93.16666667
454,412,3060487,48859,Schizachyrium scoparium,32344490,12.349,451.767,45.41666667,-93.16666667
458,412,3060488,51135,Sorghastrum nutans,32344565,10.33,447.719,45.41666667,-93.16666667
462,412,3060492,51135,Sorghastrum nutans,32344887,12.938,460.219,45.41666667,-93.16666667
466,412,3060497,48859,Schizachyrium scoparium,32345273,12.145,461.669,45.41666667,-93.16666667
470,412,3060499,51135,Sorghastrum nutans,32345430,11.462,449.529,45.41666667,-93.16666667
474,412,3060508,51135,Sorghastrum nutans,32346151,10.957,447.849,45.41666667,-93.16666667
478,412,3060528,51135,Sorghastrum nutans,32347771,14.55,454.97,45.41666667,-93.16666667
482,412,3060534,48859,Schizachyrium scoparium,32348253,10.9,461.59,45.41666667,-93.16666667
486,412,3060536,51135,Sorghastrum nutans,32348410,14.73,450.57,45.41666667,-93.16666667
490,412,3060545,51135,Sorghastrum nutans,32349132,13.44,455.64,45.41666667,-93.16666667
494,412,3060552,51135,Sorghastrum nutans,32349695,13.45,457.1,45.41666667,-93.16666667
498,412,3060559,51135,Sorghastrum nutans,32350262,11.74,459.35,45.41666667,-93.16666667
502,412,3060593,51135,Sorghastrum nutans,32353019,12.45,449.44,45.41666667,-93.16666667
506,412,3060601,48859,Schizachyrium scoparium,32353661,14.23,456.09,45.41666667,-93.16666667
510,412,3060609,51135,Sorghastrum nutans,32354308,12.17,448.64,45.41666667,-93.16666667
514,412,3060616,51135,Sorghastrum nutans,32354867,13.73,442.11,45.41666667,-93.16666667
518,412,3060643,51135,Sorghastrum nutans,32357027,15.51,455.79,45.41666667,-93.16666667
522,412,3060654,51135,Sorghastrum nutans,32357901,11.23,452.68,45.41666667,-93.16666667
526,412,3060664,51135,Sorghastrum nutans,32358694,14,446.5,45.41666667,-93.16666667
530,412,3060747,51135,Sorghastrum nutans,32365473,13.96,446.959,45.41666667,-93.16666667
534,412,3060759,51135,Sorghastrum nutans,32366446,10.725,446.954,45.41666667,-93.16666667
538,412,3060768,48859,Schizachyrium scoparium,32367172,14.184,452.591,45.41666667,-93.16666667
542,412,3060769,51135,Sorghastrum nutans,32367247,14.317,450.025,45.41666667,-93.16666667
546,412,3060776,51135,Sorghastrum nutans,32367809,14.637,450.206,45.41666667,-93.16666667
550,412,3060785,48859,Schizachyrium scoparium,32368528,13.34,454.322,45.41666667,-93.16666667
554,412,3060787,51135,Sorghastrum nutans,32368686,12.573,448.06,45.41666667,-93.16666667
558,412,3060795,51135,Sorghastrum nutans,32369325,12.802,446.065,45.41666667,-93.16666667
562,412,3060806,51135,Sorghastrum nutans,32370207,14.598,447.125,45.41666667,-93.16666667
566,412,3060816,48859,Schizachyrium scoparium,32371015,11.553,451.729,45.41666667,-93.16666667
570,412,3060817,51135,Sorghastrum nutans,32371090,13.411,447.722,45.41666667,-93.16666667
574,412,3060821,51135,Sorghastrum nutans,32371412,11.901,443.784,45.41666667,-93.16666667
578,412,3060828,51135,Sorghastrum nutans,32371974,10.699,441.54,45.41666667,-93.16666667
582,412,3060839,51135,Sorghastrum nutans,32372868,13.38,445.88,45.41666667,-93.16666667
586,412,3060862,51135,Sorghastrum nutans,32374717,10.84,445.05,45.41666667,-93.16666667
590,412,3060873,51135,Sorghastrum nutans,32375596,12.2,440.7,45.41666667,-93.16666667
594,412,3060884,48859,Schizachyrium scoparium,32376492,11.53,451.35,45.41666667,-93.16666667
598,412,3060893,48859,Schizachyrium scoparium,32377218,12.11,442.2,45.41666667,-93.16666667
602,412,3060900,51135,Sorghastrum nutans,32377788,14.66,443.6,45.41666667,-93.16666667
606,412,3060969,51135,Sorghastrum nutans,32383377,13.565,441.606,45.41666667,-93.16666667
610,412,3060979,51135,Sorghastrum nutans,32384194,16.429,448.92,45.41666667,-93.16666667
614,412,3060996,51135,Sorghastrum nutans,32385561,19.231,446.551,45.41666667,-93.16666667
618,412,3061026,51135,Sorghastrum nutans,32388004,13.558,440.38,45.41666667,-93.16666667
622,412,3061039,51135,Sorghastrum nutans,32389043,16.7,448.77,45.41666667,-93.16666667
626,412,3061049,48859,Schizachyrium scoparium,32389851,11.93,453.25,45.41666667,-93.16666667
630,412,3061050,51135,Sorghastrum nutans,32389926,13.83,443.37,45.41666667,-93.16666667
634,412,3061118,51135,Sorghastrum nutans,32395490,15.02,441.29,45.41666667,-93.16666667
638,412,3061122,51135,Sorghastrum nutans,32395809,18.76,454.62,45.41666667,-93.16666667
642,412,3061158,51135,Sorghastrum nutans,32398772,18.953,448.616,45.41666667,-93.16666667
646,412,3061274,51135,Sorghastrum nutans,32408197,13.52,445.54,45.41666667,-93.16666667
650,412,3061275,51135,Sorghastrum nutans,32408272,13.27,437.73,45.41666667,-93.16666667
654,412,3061280,51135,Sorghastrum nutans,32408675,14.7,448.93,45.41666667,-93.16666667
658,412,3061284,51135,Sorghastrum nutans,32408996,13.61,448.99,45.41666667,-93.16666667
662,412,3061294,51135,Sorghastrum nutans,32409802,13.88,446.27,45.41666667,-93.16666667
666,412,3061304,51135,Sorghastrum nutans,32410595,15.39,439.31,45.41666667,-93.16666667
670,412,3061312,51135,Sorghastrum nutans,32411228,12.8,455.79,45.41666667,-93.16666667
674,412,3061320,51135,Sorghastrum nutans,32411861,13.92,446.6,45.41666667,-93.16666667
678,412,3061328,51135,Sorghastrum nutans,32412504,14.13,446.54,45.41666667,-93.16666667
11,130,28765,7911,Bouteloua gracilis,712372,11.31368587,NA,45.4166667,-93.166667
14,130,28766,7911,Bouteloua gracilis,712395,11.64577104,NA,45.4166667,-93.166667
17,130,28767,7911,Bouteloua gracilis,712418,12.44067215,NA,45.4166667,-93.166667
20,130,28768,7911,Bouteloua gracilis,712441,13.58461742,NA,45.4166667,-93.166667
23,130,28769,7911,Bouteloua gracilis,712464,13.88925455,NA,45.4166667,-93.166667
26,130,28770,7911,Bouteloua gracilis,712487,13.9144946,NA,45.4166667,-93.166667
29,130,28771,7911,Bouteloua gracilis,712510,15.87086536,NA,45.4166667,-93.166667
32,130,28831,48859,Schizachyrium scoparium,713890,10.32463665,NA,45.4166667,-93.166667
35,130,28832,48859,Schizachyrium scoparium,713913,10.5308914,NA,45.4166667,-93.166667
38,130,28833,48859,Schizachyrium scoparium,713936,10.6250242,NA,45.4166667,-93.166667
41,130,28834,48859,Schizachyrium scoparium,713959,10.83107864,NA,45.4166667,-93.166667
44,130,28835,48859,Schizachyrium scoparium,713982,11.07650906,NA,45.4166667,-93.166667
47,130,28836,48859,Schizachyrium scoparium,714005,11.07892715,NA,45.4166667,-93.166667
50,130,28837,48859,Schizachyrium scoparium,714028,11.36443925,NA,45.4166667,-93.166667
53,130,28838,48859,Schizachyrium scoparium,714051,11.37004225,NA,45.4166667,-93.166667
56,130,28839,48859,Schizachyrium scoparium,714074,11.49520965,NA,45.4166667,-93.166667
59,130,28840,48859,Schizachyrium scoparium,714097,11.77647968,NA,45.4166667,-93.166667
62,130,28841,48859,Schizachyrium scoparium,714120,12.04608021,NA,45.4166667,-93.166667
65,130,28842,48859,Schizachyrium scoparium,714143,12.95456648,NA,45.4166667,-93.166667
68,130,28843,48859,Schizachyrium scoparium,714166,14.04767774,NA,45.4166667,-93.166667
71,130,28844,48859,Schizachyrium scoparium,714189,14.77801106,NA,45.4166667,-93.166667
74,130,28845,48859,Schizachyrium scoparium,714212,16.4163335,NA,45.4166667,-93.166667
77,130,28854,51135,Sorghastrum nutans,714419,9.03996074,NA,45.4166667,-93.166667
80,130,28855,51135,Sorghastrum nutans,714442,9.39783767,NA,45.4166667,-93.166667
83,130,28856,51135,Sorghastrum nutans,714465,10.65014972,NA,45.4166667,-93.166667
86,130,28857,51135,Sorghastrum nutans,714488,10.80674216,NA,45.4166667,-93.166667
89,130,28858,51135,Sorghastrum nutans,714511,10.81420629,NA,45.4166667,-93.166667
92,130,28859,51135,Sorghastrum nutans,714534,11.07602297,NA,45.4166667,-93.166667
95,130,28860,51135,Sorghastrum nutans,714557,11.35700258,NA,45.4166667,-93.166667
98,130,28861,51135,Sorghastrum nutans,714580,11.44982206,NA,45.4166667,-93.166667
101,130,28862,51135,Sorghastrum nutans,714603,11.71502836,NA,45.4166667,-93.166667
104,130,28863,51135,Sorghastrum nutans,714626,11.84087535,NA,45.4166667,-93.166667
107,130,28864,51135,Sorghastrum nutans,714649,11.88618765,NA,45.4166667,-93.166667
110,130,28865,51135,Sorghastrum nutans,714672,12.03184158,NA,45.4166667,-93.166667
113,130,28866,51135,Sorghastrum nutans,714695,12.07395552,NA,45.4166667,-93.166667
116,130,28867,51135,Sorghastrum nutans,714718,12.45626053,NA,45.4166667,-93.166667
119,130,28868,51135,Sorghastrum nutans,714741,13.99054494,NA,45.4166667,-93.166667
706,412,3081993,7911,Bouteloua gracilis,33947145,11.31368587,NA,45.4166667,-93.166667
709,412,3081994,7911,Bouteloua gracilis,33947217,11.64577104,NA,45.4166667,-93.166667
712,412,3081995,7911,Bouteloua gracilis,33947289,12.44067215,NA,45.4166667,-93.166667
715,412,3081996,7911,Bouteloua gracilis,33947361,13.58461742,NA,45.4166667,-93.166667
718,412,3081997,7911,Bouteloua gracilis,33947433,13.88925455,NA,45.4166667,-93.166667
721,412,3081998,7911,Bouteloua gracilis,33947505,13.9144946,NA,45.4166667,-93.166667
724,412,3081999,7911,Bouteloua gracilis,33947577,15.87086536,NA,45.4166667,-93.166667
727,412,3082059,48859,Schizachyrium scoparium,33952046,10.32463665,NA,45.4166667,-93.166667
730,412,3082060,48859,Schizachyrium scoparium,33952116,10.5308914,NA,45.4166667,-93.166667
733,412,3082061,48859,Schizachyrium scoparium,33952186,10.6250242,NA,45.4166667,-93.166667
736,412,3082062,48859,Schizachyrium scoparium,33952256,10.83107864,NA,45.4166667,-93.166667
739,412,3082063,48859,Schizachyrium scoparium,33952326,11.07650906,NA,45.4166667,-93.166667
742,412,3082064,48859,Schizachyrium scoparium,33952396,11.07892715,NA,45.4166667,-93.166667
745,412,3082065,48859,Schizachyrium scoparium,33952466,11.36443925,NA,45.4166667,-93.166667
748,412,3082066,48859,Schizachyrium scoparium,33952536,11.37004225,NA,45.4166667,-93.166667
751,412,3082067,48859,Schizachyrium scoparium,33952606,11.49520965,NA,45.4166667,-93.166667
754,412,3082068,48859,Schizachyrium scoparium,33952676,11.77647968,NA,45.4166667,-93.166667
757,412,3082069,48859,Schizachyrium scoparium,33952746,12.04608021,NA,45.4166667,-93.166667
760,412,3082070,48859,Schizachyrium scoparium,33952816,12.95456648,NA,45.4166667,-93.166667
763,412,3082071,48859,Schizachyrium scoparium,33952886,14.04767774,NA,45.4166667,-93.166667
766,412,3082072,48859,Schizachyrium scoparium,33952956,14.77801106,NA,45.4166667,-93.166667
769,412,3082073,48859,Schizachyrium scoparium,33953026,16.4163335,NA,45.4166667,-93.166667
772,412,3082082,51135,Sorghastrum nutans,33953712,9.03996074,NA,45.4166667,-93.166667
775,412,3082083,51135,Sorghastrum nutans,33953782,9.39783767,NA,45.4166667,-93.166667
778,412,3082084,51135,Sorghastrum nutans,33953852,10.65014972,NA,45.4166667,-93.166667
781,412,3082085,51135,Sorghastrum nutans,33953922,10.80674216,NA,45.4166667,-93.166667
784,412,3082086,51135,Sorghastrum nutans,33953992,10.81420629,NA,45.4166667,-93.166667
787,412,3082087,51135,Sorghastrum nutans,33954062,11.07602297,NA,45.4166667,-93.166667
790,412,3082088,51135,Sorghastrum nutans,33954132,11.35700258,NA,45.4166667,-93.166667
793,412,3082089,51135,Sorghastrum nutans,33954202,11.44982206,NA,45.4166667,-93.166667
796,412,3082090,51135,Sorghastrum nutans,33954272,11.71502836,NA,45.4166667,-93.166667
799,412,3082091,51135,Sorghastrum nutans,33954342,11.84087535,NA,45.4166667,-93.166667
802,412,3082092,51135,Sorghastrum nutans,33954412,11.88618765,NA,45.4166667,-93.166667
805,412,3082093,51135,Sorghastrum nutans,33954482,12.03184158,NA,45.4166667,-93.166667
808,412,3082094,51135,Sorghastrum nutans,33954552,12.07395552,NA,45.4166667,-93.166667
811,412,3082095,51135,Sorghastrum nutans,33954622,12.45626053,NA,45.4166667,-93.166667
814,412,3082096,51135,Sorghastrum nutans,33954692,13.99054494,NA,45.4166667,-93.166667
388,412,3029107,48859,Schizachyrium scoparium,29898832,15.0329987,NA,45.4,-93.2
391,412,3029109,51135,Sorghastrum nutans,29898991,19.6622462,NA,45.4,-93.2
217,20,1289208,48859,Schizachyrium scoparium,8637996,15.0329987,NA,45.41,-93.21
220,20,1289210,51135,Sorghastrum nutans,8638238,19.6622462,NA,45.41,-93.21
238,20,1290208,48859,Schizachyrium scoparium,8750004,10.4,NA,45.41,-93.21
241,20,1290211,51135,Sorghastrum nutans,8750358,13.9,NA,45.41,-93.21
275,286,2460061,48859,Schizachyrium scoparium,19967676,12.7,NA,45.41,-93.21
278,286,2460064,51135,Sorghastrum nutans,19967802,16.8,NA,45.41,-93.21
336,342,2501692,48859,Schizachyrium scoparium,20645013,15.0329987,NA,45.41,-93.21
339,342,2501694,51135,Sorghastrum nutans,20645159,19.6622462,NA,45.41,-93.21
354,342,2502321,48859,Schizachyrium scoparium,20690878,10.4,NA,45.41,-93.21
357,342,2502324,51135,Sorghastrum nutans,20691097,13.9,NA,45.41,-93.21
424,412,3041059,48859,Schizachyrium scoparium,30824964,15.0329987,NA,45.41,-93.21
427,412,3041061,51135,Sorghastrum nutans,30825119,19.6622462,NA,45.41,-93.21
1291,96,1312210,48859,Schizachyrium scoparium,9180853,15,NA,45.41,-93.21
1294,96,1312212,51135,Sorghastrum nutans,9180933,19.7,NA,45.41,-93.21
1306,96,1312340,48859,Schizachyrium scoparium,9186266,10.4,NA,45.41,-93.21
1309,96,1312343,51135,Sorghastrum nutans,9186386,13.9,NA,45.41,-93.21
409,412,3030078,48859,Schizachyrium scoparium,29974157,10.4,NA,45.4,-93.21
412,412,3030081,51135,Sorghastrum nutans,29974399,13.9,NA,45.4,-93.21
127,163,1334004,14084,Commelina erecta,9510091,12.36,448.28,39.09,-96.56
131,163,1334012,23591,Euphorbia spathulata,9510155,18.55,447.27,39.09,-96.56
135,163,1334045,7911,Bouteloua gracilis,9510419,15.83,440.64,39.09,-96.56
139,163,1334053,23398,Euphorbia dentata,9510483,21.49,438.74,39.09,-96.56
143,163,1334059,51149,Sorghum halepense,9510531,26.91,437.73,39.09,-96.56
147,163,1334104,48859,Schizachyrium scoparium,9510891,10.74,430.48,39.09,-96.56
151,163,1334173,64897,Sporobolus compositus,9511443,12.74,417.48,39.09,-96.56
155,163,1334246,3170,Ambrosia trifida,9512027,34.05,400.52,39.09,-96.56
159,163,1334270,51135,Sorghastrum nutans,9512219,11.23,393.99,39.09,-96.56
163,163,1334303,54487,Torilis arvensis,9512483,20.12,376.59,39.09,-96.56
167,163,1334326,40308,Parietaria pensylvanica,9512667,13.36,362.1,39.09,-96.56
820,412,3090839,14084,Commelina erecta,34656869,12.36,448.28,39.09,-96.56
824,412,3090847,23591,Euphorbia spathulata,34657502,18.55,447.27,39.09,-96.56
828,412,3090880,7911,Bouteloua gracilis,34660104,15.83,440.64,39.09,-96.56
832,412,3090888,23398,Euphorbia dentata,34660740,21.49,438.74,39.09,-96.56
836,412,3090894,51149,Sorghum halepense,34661223,26.91,437.73,39.09,-96.56
840,412,3090939,48859,Schizachyrium scoparium,34664762,10.74,430.48,39.09,-96.56
844,412,3091008,64897,Sporobolus compositus,34670218,12.74,417.48,39.09,-96.56
848,412,3091081,3170,Ambrosia trifida,34675997,34.05,400.52,39.09,-96.56
852,412,3091105,51135,Sorghastrum nutans,34677903,11.23,393.99,39.09,-96.56
856,412,3091138,54487,Torilis arvensis,34680491,20.12,376.59,39.09,-96.56
860,412,3091161,40308,Parietaria pensylvanica,34682317,13.36,362.1,39.09,-96.56
226,20,1289434,44133,Prosopis glandulosa,8663506,28,NA,27.73,-98
397,412,3029327,44133,Prosopis glandulosa,29915689,28,NA,27.63,-98.2
290,296,2464317,7911,Bouteloua gracilis,20058821,15.57488203,412.5309176,41.183333,-104.9
294,296,2464318,7911,Bouteloua gracilis,20058843,18.25866113,434.8377637,41.183333,-104.9
298,296,2464319,7911,Bouteloua gracilis,20058865,16.02066577,414.3988279,41.183333,-104.9
302,296,2464320,7911,Bouteloua gracilis,20058887,13.8762137,425.3504803,41.183333,-104.9
306,296,2464321,7911,Bouteloua gracilis,20058909,12.87090788,417.7281104,41.183333,-104.9
310,296,2464322,7911,Bouteloua gracilis,20058931,15.03011399,414.5949818,41.183333,-104.9
314,296,2464323,7911,Bouteloua gracilis,20058953,14.89483764,411.5530138,41.183333,-104.9
318,296,2464324,7911,Bouteloua gracilis,20058975,12.88482404,416.5666886,41.183333,-104.9
322,296,2464325,7911,Bouteloua gracilis,20058997,16.33711839,424.1091022,41.183333,-104.9
326,296,2464326,7911,Bouteloua gracilis,20059019,11.92311308,283.4892719,41.183333,-104.9
124,159,1322458,44133,Prosopis glandulosa,9373673,40.98,NA,30.7,-105.06
817,412,3086969,44133,Prosopis glandulosa,34345307,40.98,NA,30.7,-105.06
271,240,1674799,44133,Prosopis glandulosa,11599680,35,NA,32.5,-106.8
421,412,3036197,44133,Prosopis glandulosa,30442644,35,NA,32.5,-106.8
1052,67,1308738,44133,Prosopis glandulosa,9097466,24.9,NA,34.62,-106.9
1061,67,1308878,44133,Prosopis glandulosa,9101914,24.9,NA,34.62,-106.9
400,412,3029765,44133,Prosopis glandulosa,29949708,24.9,NA,34.37,-107
229,20,1289884,44133,Prosopis glandulosa,8712942,24.9,NA,34,-107
287,286,2460531,44133,Prosopis glandulosa,19989997,24.9,NA,34,-107
345,342,2502091,44133,Prosopis glandulosa,20674144,24.9,NA,34,-107
1297,96,1312275,44133,Prosopis glandulosa,9183573,24.9,NA,34,-107
171,193,1398086,7911,Bouteloua gracilis,10237327,14.83,411.22,35.148,-111.611
175,193,1398087,7911,Bouteloua gracilis,10237334,17.75,421.35,35.148,-111.611
864,412,3100567,7911,Bouteloua gracilis,35408305,14.83,411.22,35.148,-111.611
868,412,3100568,7911,Bouteloua gracilis,35408382,17.75,421.35,35.148,-111.611
179,193,1398088,7911,Bouteloua gracilis,10237341,13.8,423.85,35.2,-111.62
191,193,1401445,48859,Schizachyrium scoparium,10269596,7.35,454.99,35.2,-111.62
195,193,1401446,48859,Schizachyrium scoparium,10269603,7.72,445.11,35.2,-111.62
199,193,1401447,48859,Schizachyrium scoparium,10269611,15.96,448.12,35.2,-111.62
203,193,1401448,48859,Schizachyrium scoparium,10269621,7.74,449.38,35.2,-111.62
207,193,1401449,48859,Schizachyrium scoparium,10269629,7.21,445.17,35.2,-111.62
872,412,3100569,7911,Bouteloua gracilis,35408459,13.8,423.85,35.2,-111.62
884,412,3102849,48859,Schizachyrium scoparium,35586620,7.35,454.99,35.2,-111.62
888,412,3102850,48859,Schizachyrium scoparium,35586694,7.72,445.11,35.2,-111.62
892,412,3102851,48859,Schizachyrium scoparium,35586769,15.96,448.12,35.2,-111.62
896,412,3102852,48859,Schizachyrium scoparium,35586844,7.74,449.38,35.2,-111.62
900,412,3102853,48859,Schizachyrium scoparium,35586919,7.21,445.17,35.2,-111.62
183,193,1398089,7911,Bouteloua gracilis,10237350,15.45,428.02,35.138,-111.644
187,193,1398090,7911,Bouteloua gracilis,10237357,15.26,413.66,35.138,-111.644
876,412,3100570,7911,Bouteloua gracilis,35408535,15.45,428.02,35.138,-111.644
880,412,3100571,7911,Bouteloua gracilis,35408612,15.26,413.66,35.138,-111.644
907,412,3164643,44133,Prosopis glandulosa,40534930,39.675,477.365,36.386708,-111.8493294
