ec5_uuid,created_at,uploaded_at,title,1_date_measured,2_time_started,3_site,4_plot__treatment,5_subplot,6_nested_subplot,7_Photo_of_1x1,8_notes,9_species_list_site,10_species_compositi,16_species_compositi,22_species_compositi,28_species_compositi
8b46e7b8-dae7-4ba8-abae-6fdc43e3fd81,2023-09-07T19:02:40.000Z,2023-09-07T19:02:53.000Z,sevi_NPK_39,2023/09/07,12:58,sevi,sevi_NPK_39,B,2,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=8b46e7b8-dae7-4ba8-abae-6fdc43e3fd81_1694113114.jpg,,sevi,0,0,0,8
073881bb-7a81-4cf9-b49f-36726649de0f,2023-09-07T18:49:46.000Z,2023-09-07T18:53:36.000Z,sevi_control_40,2023/09/07,12:48,sevi,sevi_control_40,A,1,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=073881bb-7a81-4cf9-b49f-36726649de0f_1694112536.jpg,,sevi,0,0,0,10
b287dd4c-247f-4783-a712-d45ee95c09b9,2023-09-07T18:42:15.000Z,2023-09-07T18:42:21.000Z,sevi_control_35,2023/09/07,12:35,sevi,sevi_control_35,B,2,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=b287dd4c-247f-4783-a712-d45ee95c09b9_1694111776.jpg,,sevi,0,0,0,9
68c1eedc-2fe1-4b80-9c80-8a82c1b1d40f,2023-09-07T18:28:26.000Z,2023-09-07T18:32:49.000Z,sevi_NPK_25,2023/09/07,12:26,sevi,sevi_NPK_25,B,1,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=68c1eedc-2fe1-4b80-9c80-8a82c1b1d40f_1694111238.jpg,,sevi,0,0,0,9
f1d3a5e2-b45b-49bc-998a-57e694e295f2,2023-09-07T17:58:53.000Z,2023-09-07T18:00:20.000Z,sevi_control_22,2023/09/07,11:46,sevi,sevi_control_22,B,2,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=f1d3a5e2-b45b-49bc-998a-57e694e295f2_1694108834.jpg,,sevi,0,0,0,8
f57efbdf-5bea-4f8d-9e20-61ac5455ffc8,2023-09-07T17:40:15.000Z,2023-09-07T17:42:22.000Z,sevi_NPK_17,2023/09/07,11:35,sevi,sevi_NPK_17,A,1,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=f57efbdf-5bea-4f8d-9e20-61ac5455ffc8_1694108164.jpg,,sevi,0,0,0,8
8bbf53b2-0577-46e0-a9de-e286994d3923,2023-09-07T17:18:19.000Z,2023-09-07T17:29:36.000Z,sevi_control_12,2023/09/07,11:13,sevi,sevi_control_12,A,1,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=8bbf53b2-0577-46e0-a9de-e286994d3923_1694106840.jpg,,sevi,0,0,0,9
129f1263-13d2-444f-8cbe-e1a939c0a072,2023-09-07T17:03:29.000Z,2023-09-07T17:03:35.000Z,sevi_NPK_15,2023/09/07,10:56,sevi,sevi_NPK_15,A,1,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=129f1263-13d2-444f-8cbe-e1a939c0a072_1694105820.jpg,,sevi,0,0,0,7
62681bb0-fa86-4929-921a-020782947833,2023-09-07T16:44:15.000Z,2023-09-07T16:44:20.000Z,sevi_control_08,2023/09/07,10:32,sevi,sevi_control_08,B,2,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=62681bb0-fa86-4929-921a-020782947833_1694104410.jpg,"Moved from A1 to B2 becauseofwasp nest in A1",sevi,0,0,0,6
159c39f3-09f2-4853-9e49-618c09166406,2023-09-07T16:26:29.000Z,2023-09-07T17:29:33.000Z,sevi_NPK_06,2023/09/07,09:53,sevi,sevi_NPK_06,A,1,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=159c39f3-09f2-4853-9e49-618c09166406_1694102014.jpg,,sevi,0,0,0,10
7c0be2f7-0ee6-4c1e-b7ec-23b93f1abc4b,2023-08-23T17:49:20.000Z,2023-09-07T14:51:27.000Z,lubb_NPK_05,2023/08/23,12:47,lubb,lubb_NPK_05,B,4,,,lubb,0,2,0,0
f1174a2c-c9a2-4dde-bf7f-96e2b08a403c,2023-06-21T18:36:30.000Z,2023-08-21T03:46:05.000Z,arch_control_01,2023/06/21,14:30,arch,arch_control_01,A,1,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=f1174a2c-c9a2-4dde-bf7f-96e2b08a403c_1687372294.jpg,,arch,0,0,11,0
17a0bd21-d17f-49a0-b181-eea16e6102bf,2023-06-21T18:05:29.000Z,2023-06-21T18:11:09.000Z,arch_NPK_08,2023/06/21,13:57,arch,arch_NPK_08,B,2,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=17a0bd21-d17f-49a0-b181-eea16e6102bf_1687370308.jpg,,arch,0,0,11,0
1e2c6339-bd80-4d6c-996c-89b24fceac41,2023-06-21T17:27:03.000Z,2023-06-21T17:51:14.000Z,arch_NPK_18,2023/06/21,13:25,arch,arch_NPK_18,C,3,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=1e2c6339-bd80-4d6c-996c-89b24fceac41_1687368394.jpg,,arch,0,0,14,0
1aad7f56-5111-4bad-904f-c57d81641088,2023-06-21T17:08:54.000Z,2023-08-21T03:46:07.000Z,arch_control_11,2023/06/21,12:49,arch,arch_control_11,B,2,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=1aad7f56-5111-4bad-904f-c57d81641088_1687366229.jpg,,arch,0,0,11,0
78777246-4291-4246-9899-7a4e35f3f758,2023-06-21T15:15:49.000Z,2023-06-21T16:08:17.000Z,arch_NPK_28,2023/06/21,11:13,arch,arch_NPK_28,A,1,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=78777246-4291-4246-9899-7a4e35f3f758_1687360462.jpg,,arch,0,0,12,0
060a5adb-824c-4fbe-a694-6a346bbf3390,2023-06-21T13:39:41.000Z,2023-08-21T03:46:09.000Z,arch_control_21,2023/06/21,09:31,arch,arch_control_21,B,2,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=060a5adb-824c-4fbe-a694-6a346bbf3390_1687354305.jpg,,arch,0,0,12,0
8ed45400-c325-495a-ab9f-ea1e904eb95a,2023-06-05T14:53:46.000Z,2023-06-05T15:03:33.000Z,lubb_control_37,2023/06/05,09:49,lubb,lubb_control_37,B,2,,,lubb,0,12,0,0
c324e2f7-7efc-4fd4-adc0-7737a2d9da23,2023-06-05T14:46:03.000Z,2023-06-21T01:46:21.000Z,lubb_NPK_29,2023/06/05,09:37,lubb,lubb_NPK_29,D,4,,,lubb,0,8,0,0
ebd116e4-e8ac-4c4d-9b05-fbcedb49d110,2023-06-05T14:29:01.000Z,2023-06-05T14:29:15.000Z,lubb_NPK_27,2023/06/05,09:16,lubb,lubb_NPK_27,B,2,,,lubb,0,11,0,0
597548d9-ae76-40e6-9d11-3e378c908a8f,2023-06-05T14:13:52.000Z,2023-06-05T14:14:01.000Z,lubb_control_28,2023/06/05,09:06,lubb,lubb_control_28,B,2,,"Mesquite (established) in centerof subplot",lubb,0,7,0,0
265eccff-9aa3-42ab-bf20-b3cf84d58387,2023-06-05T13:45:55.000Z,2023-06-05T13:59:55.000Z,lubb_NPK_05,2023/06/05,08:42,lubb,lubb_NPK_05,B,2,,,lubb,0,8,0,0
aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e,2023-06-05T13:34:15.000Z,2023-06-05T13:34:22.000Z,lubb_control_08,2023/06/05,08:07,lubb,lubb_control_08,C,3,,,lubb,0,11,0,0
0a1302c1-c279-4517-9687-867bc22319fa,2023-06-05T06:19:52.000Z,2023-06-05T06:20:40.000Z,lubb_control_08,2023/06/05,01:17,lubb,lubb_control_08,A,1,,Testing,lubb,0,3,0,0
214a5043-7444-41f6-9a1e-d783c3cb10f8,2023-05-26T13:52:50.000Z,2023-05-26T13:56:06.000Z,temple_NPK_28,2023/05/26,08:43,,temple_NPK_28,C,,,C3,temple,0,0,0,0
d0a2745c-b269-4c71-b5d8-c8b8df4ddf25,2023-05-26T12:12:27.000Z,2023-05-26T12:15:45.000Z,temple_control_21,2023/05/26,07:02,,temple_control_21,D,,,"Subplot D, nested 4",temple,17,0,0,0
f44699e4-cdaf-45c7-9109-e693539d4ab0,2023-05-25T17:38:15.000Z,2023-05-26T12:15:43.000Z,temple_NPK_18,2023/05/25,12:28,,temple_NPK_18,A,,,A1,temple,0,0,0,0
33cfb7d6-8ed1-44c1-825e-490897acb04a,2023-05-25T15:40:28.901Z,2023-05-25T15:40:32.000Z,temple_control_11,2023/05/25,09:49,,temple_control_11,D,,,D4,temple,17,0,0,0
0b7e15ca-b231-4103-8509-0e71ecd4ee4c,2023-05-25T13:47:40.274Z,2023-05-25T14:49:32.000Z,temple_NPK_08,2023/05/25,07:58,,temple_NPK_08,D,,,D4,temple,0,0,0,0
b0f9325f-4cf2-4ef5-a74e-3f84c4569ac4,2023-05-24T14:04:38.933Z,2023-05-24T14:04:51.000Z,temple_control_01,2023/05/24,08:51,,temple_control_01,B,,,B2,temple,16,0,0,0
bc054f23-e73e-4bd8-8414-b36ba7bc1d77,2023-05-23T13:25:59.564Z,2023-05-23T14:07:21.000Z,temple_NPK_28,2023/05/23,08:18,,temple_NPK_28,C,,,"SW Corner (4)",temple,7,0,0,0
9892bea0-ee69-4b46-8eea-87b723cb496a,2023-05-23T13:18:10.426Z,2023-05-23T14:07:06.000Z,temple_NPK_18,2023/05/23,08:08,,temple_NPK_18,A,,,"SE (2)",temple,8,0,0,0
c5261ef3-db17-4c4b-ba57-e2ddd9016575,2023-05-23T13:06:00.680Z,2023-05-23T14:06:52.000Z,temple_NPK_08,2023/05/23,07:57,,temple_NPK_08,D,,,"SW Corner",temple,7,0,0,0
2316375c-bd41-42db-80fe-19ae5c761281,2023-05-23T12:55:51.372Z,2023-05-23T14:06:36.000Z,temple_control_01,2023/05/23,07:42,,temple_control_01,B,,,"SE corner",temple,8,0,0,0
da873470-ee73-4ebe-b328-db886aa6c0b4,2023-05-23T12:42:39.231Z,2023-05-23T14:06:21.000Z,temple_control_11,2023/05/23,07:32,,temple_control_11,D,,,"SW corner",temple,8,0,0,0
53a6cb93-dadb-48b6-a5e9-0bfbe280b052,2023-05-23T12:20:56.000Z,2023-05-23T12:32:59.000Z,temple_control_21,2023/05/23,07:09,,temple_control_21,D,,,"SW corner",temple,9,0,0,0
